word	semantic field	image-concept association	form-image assocaition pattern	non iconic	languages	urls	Localization 	Personification	Action	Parts/wholes
socks	clothes	form_similarity	contour+object		Russian Sign Language	https://media.spreadthesign.com/video/mp4/12/14975.mp4	0+0	0+0	0+0	0+0
socks	clothes	assoc_action	handling		French Sign Language	https://media.spreadthesign.com/video/mp4/10/14974.mp4	0	1	1	0
socks	clothes	-	-	nonicon	American Sign Language	https://media.spreadthesign.com/video/mp4/13/65921.mp4	-	-	-	-
socks	clothes	assoc_action	handling		British Sign Language	https://media.spreadthesign.com/video/mp4/1/14981.mp4	0	1	1	0
socks	clothes	form_similarity	tracing+object		Spanish Sign Language	https://media.spreadthesign.com/video/mp4/5/14979.mp4	0+0	0+0	0+0	0+0
socks	clothes	assoc_action	handling		Italian Sign Language	https://media.spreadthesign.com/video/mp4/17/177428.mp4	0	1	1	0
socks	clothes	assoc_action	handling		German Sign Language	https://media.spreadthesign.com/video/mp4/9/14976.mp4	0	1	1	0
socks	clothes	form_similarity	contour+object		Polish Sign Language	https://media.spreadthesign.com/video/mp4/19/59984.mp4	0+0	0+0	0+0	0+0
socks	clothes	-&assoc_action	-&handling	nonicon&	Turkish Sign Language	https://media.spreadthesign.com/video/mp4/11/344622.mp4	-&0	-&1	-&1	-&0
socks	clothes	-	-	nonicon	Portuguese Sign Language	https://media.spreadthesign.com/video/mp4/6/14982.mp4	-	-	-	-
socks	clothes	form_similarity	tracing+object		Czech Sign Language	https://media.spreadthesign.com/video/mp4/4/14978.mp4	0+0	0+0	0+0	0+0
socks	clothes	form_similarity	contour+object		Lithuanian Sign Language	https://media.spreadthesign.com/video/mp4/3/14980.mp4	0+0	0+0	0+0	0+0
socks	clothes	assoc_action	handling		Swedish Sign Language	https://media.spreadthesign.com/video/mp4/2/14983.mp4	0	1	1	0
socks	clothes	form_similarity	tracing+object		Romanian Sign Language	https://media.spreadthesign.com/video/mp4/30/102906.mp4	0+0	0+0	0+0	0+0
socks	clothes	form_similarity	tracing+object		Latvian Sign Language	https://media.spreadthesign.com/video/mp4/26/60933.mp4	0+0	0+0	0+0	0+0
socks	clothes	form_similarity	contour+object		Estonian Sign Language	https://media.spreadthesign.com/video/mp4/25/57557.mp4	0+0	0+0	0+0	0+0
socks	clothes	form_similarity	contour+object		Icelandic Sign Language	https://media.spreadthesign.com/video/mp4/21/54378.mp4	0+0	0+0	0+0	0+0
bicycle	transport	assoc_action	object		Russian Sign Language	https://media.spreadthesign.com/video/mp4/12/14127.mp4	0	0	1	0
bicycle	transport	-	-	nonicon	French Sign Language	https://media.spreadthesign.com/video/mp4/10/14126.mp4	-	-	-	-
bicycle	transport	assoc_action	object		American Sign Language	https://media.spreadthesign.com/video/mp4/13/124309.mp4	0	0	1	0
bicycle	transport	assoc_action	object		British Sign Language	https://media.spreadthesign.com/video/mp4/1/14132.mp4	0	0	1	0
bicycle	transport	assoc_action	object		Spanish Sign Language	https://media.spreadthesign.com/video/mp4/5/14130.mp4	0	0	1	0
bicycle	transport	assoc_action	object		Italian Sign Language	https://media.spreadthesign.com/video/mp4/17/152515.mp4	0	0	1	0
bicycle	transport	assoc_action	object		German Sign Language	https://media.spreadthesign.com/video/mp4/9/14136.mp4	0	0	1	0
bicycle	transport	parts/wholes+assoc_acion	object		Polish Sign Language	https://media.spreadthesign.com/video/mp4/19/59919.mp4	0	0	1	1
bicycle	transport	parts/wholes+assoc_acion	object		Polish Sign Language	https://media.spreadthesign.com/video/mp4/19/59915.mp4	0	0	1	0
bicycle	transport	assoc_action	object		Brazilian Sign Language	https://media.spreadthesign.com/video/mp4/14/225758.mp4	0	0	1	0
bicycle	transport	assoc_action	object		Turkish Sign Language	https://media.spreadthesign.com/video/mp4/11/14135.mp4	0	0	1	0
bicycle	transport	assoc_action	object		Portuguese Sign Language	https://media.spreadthesign.com/video/mp4/6/14133.mp4	0	0	1	0
bicycle	transport	assoc_action	object		Czech Sign Language	https://media.spreadthesign.com/video/mp4/4/14129.mp4	0	0	1	0
bicycle	transport	assoc_action	object		Lithuanian Sign Language	https://media.spreadthesign.com/video/mp4/3/14131.mp4	0	0	1	0
bicycle	transport	assoc_action	handling+handling		Swedish Sign Language	https://media.spreadthesign.com/video/mp4/2/311877.mp4	0+0	1+1	1+1	0+0
bicycle	transport	assoc_action	object		Latvian Sign Language	https://media.spreadthesign.com/video/mp4/26/60875.mp4	0	0	1	0
bicycle	transport	assoc_action	object		Estonian Sign Language	https://media.spreadthesign.com/video/mp4/25/63019.mp4	0	0	1	0
bicycle	transport	assoc_action	object		Icelandic Sign Language	https://media.spreadthesign.com/video/mp4/21/52617.mp4	0	0	1	0
truck	transport	assoc_action&form_similarity	handling&tracing		French Sign Language	https://media.spreadthesign.com/video/mp4/10/25558.mp4	0&0	1&0	1&0	0&0
truck	transport	-	-	nonicon	American Sign Language	https://media.spreadthesign.com/video/mp4/13/58448.mp4	-	-	-	-
truck	transport	assoc_action	handling		British Sign Language	https://media.spreadthesign.com/video/mp4/1/25555.mp4	0	1	1	0
truck	transport	assoc_action	object		Spanish Sign Language	https://media.spreadthesign.com/video/mp4/5/25553.mp4	0	0	1	0
truck	transport	assoc_action&form_similarity	handling&tracing		Italian Sign Language	https://media.spreadthesign.com/video/mp4/17/180787.mp4	0&0	1&0	1&0	0&0
truck	transport	assoc_action&form_similarity	handling&tracing		German Sign Language	https://media.spreadthesign.com/video/mp4/9/72458.mp4	0&0	1&0	1&0	0&0
truck	transport	form_similarity	tracing		Polish Sign Language	https://media.spreadthesign.com/video/mp4/19/92243.mp4	0	0	0	0
truck	transport	assoc_action	handling		Polish Sign Language	https://media.spreadthesign.com/video/mp4/19/92242.mp4	0	1	1	0
truck	transport	-	-	nonicon	Turkish Sign Language	https://media.spreadthesign.com/video/mp4/11/320936.mp4	-	-	-	-
truck	transport	-	-	nonicon	Turkish Sign Language	https://media.spreadthesign.com/video/mp4/11/25559.mp4	-	-	-	-
truck	transport	assoc_action&-	handling&handling		Portuguese Sign Language	https://media.spreadthesign.com/video/mp4/6/25552.mp4	0&1	1&1	1&1	0&0
truck	transport	assoc_action	handling		Czech Sign Language	https://media.spreadthesign.com/video/mp4/4/25556.mp4	0	1	1	0
truck	transport	-&form_similarity	-&tracing		Lithuanian Sign Language	https://media.spreadthesign.com/video/mp4/3/25557.mp4	-&0	-&0	-&0	-&0
truck	transport	form_similarity	tracing		Swedish Sign Language	https://media.spreadthesign.com/video/mp4/2/25554.mp4	0	0	0	0
truck	transport	assoc_action&form_similarity	handling&contour		Greek Sign Language	https://media.spreadthesign.com/video/mp4/38/210699.mp4	0&0	1&0	1&0	0&0
truck	transport	assoc_action&form_similarity	handling&tracing		Romanian Sign Language	https://media.spreadthesign.com/video/mp4/30/182101.mp4	0&0	1&0	1&0	0&0
truck	transport	assoc_action&form_similarity	handling&tracing		Latvian Sign Language	https://media.spreadthesign.com/video/mp4/26/75925.mp4	0&0	1&0	1&0	0&0
truck	transport	form_similarity	object+object		Estonian Sign Language	https://media.spreadthesign.com/video/mp4/25/65330.mp4	0+0	0+0	1+0	1+1
boat	transport	assoc_action	object		Russian Sign Language	https://media.spreadthesign.com/video/mp4/12/181853.mp4	0	0	1	0
boat	transport	assoc_action	object		French Sign Language	https://media.spreadthesign.com/video/mp4/10/259883.mp4	0	0	1	0
boat	transport	assoc_action	object		American Sign Language	https://media.spreadthesign.com/video/mp4/13/124978.mp4	0	0	1	0
boat	transport	assoc_action	object		British Sign Language	https://media.spreadthesign.com/video/mp4/1/77631.mp4	0	0	1	0
boat	transport	assoc_action	object		Spanish Sign Language	https://media.spreadthesign.com/video/mp4/5/56173.mp4	0	0	1	0
boat	transport	assoc_action	object		Italian Sign Language	https://media.spreadthesign.com/video/mp4/17/203282.mp4	0	0	1	0
boat	transport	assoc_action	object		German Sign Language	https://media.spreadthesign.com/video/mp4/9/172410.mp4	0	0	1	0
boat	transport	assoc_action	object		Brazilian Sign Language	https://media.spreadthesign.com/video/mp4/14/225251.mp4	0	0	1	0
boat	transport	assoc_action	object		Turkish Sign Language	https://media.spreadthesign.com/video/mp4/11/342944.mp4	0	0	1	0
boat	transport	assoc_action	object		Portuguese Sign Language	https://media.spreadthesign.com/video/mp4/6/148637.mp4	0	0	1	0
boat	transport	assoc_action	object		Czech Sign Language	https://media.spreadthesign.com/video/mp4/4/28185.mp4	0	0	1	0
boat	transport	assoc_action&assoc_action	object&handling		Lithuanian Sign Language	https://media.spreadthesign.com/video/mp4/3/116175.mp4	0&0	0&1	1&1	0&0
boat	transport	assoc_action	object		Swedish Sign Language	https://media.spreadthesign.com/video/mp4/2/49833.mp4	0	0	1	0
