word	semantic field	form-image association pattern	non iconic	languages	urls	Location	Personification	Action	Parts/wholes	Two hand signs	Compounds
bicycle	transport	object	0	Russian Sign Language	https://media.spreadthesign.com/video/mp4/12/14127.mp4	0	0	1	0	None	None
bicycle	transport	-	nonicon	French Sign Language	https://media.spreadthesign.com/video/mp4/10/14126.mp4	-	-	-	-	None	None
bicycle	transport	object	0	American Sign Language	https://media.spreadthesign.com/video/mp4/13/124309.mp4	0	0	1	0	None	None
bicycle	transport	object	0	British Sign Language	https://media.spreadthesign.com/video/mp4/1/14132.mp4	0	0	1	0	None	None
bicycle	transport	object	0	Spanish Sign Language	https://media.spreadthesign.com/video/mp4/5/14130.mp4	0	0	1	0	None	None
bicycle	transport	object	0	Italian Sign Language	https://media.spreadthesign.com/video/mp4/17/152515.mp4	0	0	1	0	None	None
bicycle	transport	object	0	German Sign Language	https://media.spreadthesign.com/video/mp4/9/14136.mp4	0	0	1	0	None	None
bicycle	transport	object	0	Polish Sign Language	https://media.spreadthesign.com/video/mp4/19/59919.mp4	0	0	1	1	None	None
bicycle	transport	object	0	Polish Sign Language	https://media.spreadthesign.com/video/mp4/19/59915.mp4	0	0	1	0	None	None
bicycle	transport	object	0	Brazilian Sign Language	https://media.spreadthesign.com/video/mp4/14/225758.mp4	0	0	1	0	None	None
bicycle	transport	object	0	Turkish Sign Language	https://media.spreadthesign.com/video/mp4/11/14135.mp4	0	0	1	0	None	None
bicycle	transport	object	0	Portuguese Sign Language	https://media.spreadthesign.com/video/mp4/6/14133.mp4	0	0	1	0	None	None
bicycle	transport	object	0	Czech Sign Language	https://media.spreadthesign.com/video/mp4/4/14129.mp4	0	0	1	0	None	None
bicycle	transport	object	0	Lithuanian Sign Language	https://media.spreadthesign.com/video/mp4/3/14131.mp4	0	0	1	0	None	None
bicycle	transport	handling	0	Swedish Sign Language	 https://media.spreadthesign.com/video/mp4/2/333422.mp4	0	1	1	0	active	None
bicycle	transport	handling	0	Swedish Sign Language	 https://media.spreadthesign.com/video/mp4/2/333422.mp4	0	1	1	0	secondary	None
bicycle	transport	object	0	Latvian Sign Language	https://media.spreadthesign.com/video/mp4/26/60875.mp4	0	0	1	0	None	None
bicycle	transport	object	0	Estonian Sign Language	https://media.spreadthesign.com/video/mp4/25/63019.mp4	0	0	1	0	None	None
bicycle	transport	object	0	Icelandic Sign Language	https://media.spreadthesign.com/video/mp4/21/52617.mp4	0	0	1	0	None	None
truck	transport	handling	0	French Sign Language	https://media.spreadthesign.com/video/mp4/10/25558.mp4	0	1	1	0	None	first
truck	transport	tracing	0	French Sign Language	https://media.spreadthesign.com/video/mp4/10/25558.mp4	0	0	0	0	None	second
truck	transport	-	nonicon	American Sign Language	https://media.spreadthesign.com/video/mp4/13/58448.mp4	-	-	-	-	None	None
truck	transport	handling	0	British Sign Language	https://media.spreadthesign.com/video/mp4/1/25555.mp4	0	1	1	0	None	None
truck	transport	object	0	Spanish Sign Language	https://media.spreadthesign.com/video/mp4/5/25553.mp4	0	0	1	0	None	None
truck	transport	handling	0	Italian Sign Language	https://media.spreadthesign.com/video/mp4/17/180787.mp4	0	1	1	0	None	first
truck	transport	tracing	0	Italian Sign Language	https://media.spreadthesign.com/video/mp4/17/180787.mp4	0	0	0	0	None	second
truck	transport	handling	0	German Sign Language	https://media.spreadthesign.com/video/mp4/9/72458.mp4	0	1	1	0	None	first
truck	transport	tracing	0	German Sign Language	https://media.spreadthesign.com/video/mp4/9/72458.mp4	0	0	0	0	None	second
truck	transport	tracing	0	Polish Sign Language	https://media.spreadthesign.com/video/mp4/19/92243.mp4	0	0	0	0	None	None
truck	transport	handling	0	Polish Sign Language	https://media.spreadthesign.com/video/mp4/19/92242.mp4	0	1	1	0	None	None
truck	transport	-	nonicon	Turkish Sign Language	https://media.spreadthesign.com/video/mp4/11/320936.mp4	-	-	-	-	None	None
truck	transport	-	nonicon	Turkish Sign Language	https://media.spreadthesign.com/video/mp4/11/25559.mp4	-	-	-	-	None	None
truck	transport	handling	0	Portuguese Sign Language	https://media.spreadthesign.com/video/mp4/6/25552.mp4	0	1	1	0	None	first
truck	transport	handling	0	Portuguese Sign Language	https://media.spreadthesign.com/video/mp4/6/25552.mp4	1	1	1	0	None	second
truck	transport	handling	0	Czech Sign Language	https://media.spreadthesign.com/video/mp4/4/25556.mp4	0	1	1	0	None	None
truck	transport	-	0	Lithuanian Sign Language	https://media.spreadthesign.com/video/mp4/3/25557.mp4	-	-	-	-	None	first
truck	transport	tracing	0	Lithuanian Sign Language	https://media.spreadthesign.com/video/mp4/3/25557.mp4	0	0	0	0	None	second
truck	transport	tracing	0	Swedish Sign Language	https://media.spreadthesign.com/video/mp4/2/25554.mp4	0	0	0	0	None	None
truck	transport	handling	0	Greek Sign Language	https://media.spreadthesign.com/video/mp4/38/210699.mp4	0	1	1	0	None	first
truck	transport	contour	0	Greek Sign Language	https://media.spreadthesign.com/video/mp4/38/210699.mp4	0	0	0	0	None	second
truck	transport	handling	0	Romanian Sign Language	https://media.spreadthesign.com/video/mp4/30/182101.mp4	0	1	1	0	None	first
truck	transport	tracing	0	Romanian Sign Language	https://media.spreadthesign.com/video/mp4/30/182101.mp4	0	0	0	0	None	second
truck	transport	handling	0	Latvian Sign Language	https://media.spreadthesign.com/video/mp4/26/75925.mp4	0	1	1	0	None	first
truck	transport	tracing	0	Latvian Sign Language	https://media.spreadthesign.com/video/mp4/26/75925.mp4	0	0	0	0	None	second
truck	transport	object	0	Estonian Sign Language	https://media.spreadthesign.com/video/mp4/25/65330.mp4	0	0	1	1	active	None
truck	transport	object	0	Estonian Sign Language	https://media.spreadthesign.com/video/mp4/25/65330.mp4	0	0	0	1	secondary	None
boat	transport	object	0	Russian Sign Language	https://media.spreadthesign.com/video/mp4/12/181853.mp4	0	0	1	0	None	None
